x,Curve1,Curve2,Curve3,Curve4,Curve5
3.209,0.0069,0.00726,0.84578,nan,1.09569
4.56,0.00484,0.00763,0.71307,nan,0.15464
7.094,0.00098,0.00404,0.45045,nan,0.00484
7.517,0.00034,0.00242,0.40359,nan,-0.01447
9.291,-0.00242,-0.01006,0.18009,nan,-0.11476
9.982,-0.00358,-0.01914,0.0415,nan,-0.19128
10.138,-0.00388,-0.02177,-0.0339,nan,-0.22458
10.247,-0.00411,-0.02378,-0.09244,nan,-0.32446
10.304,-0.00424,-0.02491,-0.11274,nan,-0.00242
10.335,-0.0043,-0.02552,-0.12203,-0.3632,-0.12734
10.349,-0.00434,-0.02581,-0.12606,-0.60395,-0.53027
10.362,-0.00437,-0.02608,-0.12963,-0.68281,-0.75256
10.369,-0.00438,-0.02623,-0.13151,-0.67561,-0.76513
10.431,-0.00453,-0.02757,-0.1472,-0.50363,-0.83509
10.486,-0.00467,-0.02882,-0.15981,-0.55556,-0.87459
10.55,-0.00483,-0.03032,-0.17312,-0.63765,-0.90799
10.707,-0.00527,-0.03445,-0.204,-0.7724,-0.96042
10.983,-0.00618,-0.04358,-0.25742,-0.86187,-0.99082
11.063,-0.00648,-0.04691,-0.27409,-0.87235,-0.99031
11.261,-0.00732,-0.05716,-0.32688,-0.88202,-0.9775
11.27,-0.00736,-0.05775,-0.44068,-0.88202,-0.97655
11.56,-0.00887,-0.083,-0.4969,-0.86683,-0.93638
11.814,-0.01052,-0.12861,-0.53178,-0.83537,-0.87651
11.87,-0.01093,-0.14047,-0.53995,-0.82692,-0.8548
11.921,-0.01133,-0.15012,-0.54796,-0.81878,-0.82453
11.971,-0.01173,-0.15816,-0.55613,-0.81067,-0.73608
12.216,-0.01394,-0.18873,-0.59946,-0.76728,-0.63438
12.384,-0.01572,-0.20541,-0.62228,-0.73542,-0.58556
12.671,-0.01937,-0.23029,-0.64061,-0.67947,-0.50383
12.876,-0.0225,-0.24657,-0.64263,-0.63984,-0.44794
12.892,-0.02276,-0.24781,-0.6425,-0.6368,-0.44377
12.944,-0.02364,-0.25182,-0.6418,-0.627,-0.43047
