x,Curve1,Curve2,Curve3
0.0108,0.0223,0.0039,0.0156
0.1365,0.0116,0.0064,0.0119
0.2766,0.0105,0.0092,0.0068
0.378,0.0152,0.0112,0.003
0.663,0.0331,0.0159,-0.0037
0.8708,0.0294,0.0131,0.0003
0.9964,0.0007,-0.0074,0.0089
0.9964,0.0007,-0.0074,0.0089
1.132,-0.3303,-0.0625,0.021
1.2816,-0.596,-0.1359,0.0318
1.316,-0.6449,-0.1514,0.0331
1.3876,-0.7634,-0.1821,0.034
1.5,-0.9677,-0.2278,0.0298
1.6876,-1.235,-0.3045,0.0136
1.7129,-1.2661,-0.3154,0.0111
1.9046,-1.4866,-0.4005,-0.005
1.9451,-1.5321,-0.4185,-0.0068
2.0742,-1.675,-0.4732,-0.0078
2.1434,-1.7417,-0.4994,-0.0059
2.349,-1.901,-0.5662,0.0043
2.3852,-1.9269,-0.5771,0.006
2.4125,-1.9466,-0.5854,0.0072
2.6463,-2.104,-0.6576,0.0131
2.7307,-2.1526,-0.6835,0.0134
2.7508,-2.1637,-0.6896,0.0133
2.975,-2.2809,-0.7528,0.0061
2.977,-2.2819,-0.7533,0.006
2.978,-2.2824,-0.7536,0.006
