x,Curve1,Curve2
-86.715,1.00094,-0.00207
-83.621,1.00009,0.00034
-76.855,0.99841,0.0023
-69.898,0.99817,7e-05
-62.938,1.00007,0.00038
-56.366,1.00047,0.00596
-46.499,0.99009,0.02387
-42.457,0.97741,0.03536
-33.402,0.90143,0.07649
-33.334,0.90049,0.07691
-28.417,0.79579,0.1131
-24.034,0.63095,0.15525
-22.86,0.58066,0.16797
-20.614,0.47878,0.19363
-17.384,0.33295,0.23297
-13.378,0.19558,0.28466
-12.76,0.17858,0.29284
-7.623,0.0815,0.36314
-4.015,0.04534,0.41559
0.277,0.01607,0.47976
5.878,0.00558,0.55912
6.871,0.00515,0.57219
19.02,-0.00058,0.70359
20.263,-0.0009,0.71403
34.021,-0.00068,0.8009
35.644,-0.00034,0.80887
45.443,0.00238,0.84546
50.917,0.0041,0.85779
59.564,0.00619,0.87314
60.389,0.00635,0.87453
