x,Curve1,Curve2,Curve3,Curve4,Curve5,Curve6
0.2334,0.00231,0.06666,0.07717,0.36978,0.37833,-2706.96574
0.237,0.00343,0.06695,0.08296,0.34432,0.39289,-1947.24984
0.2512,0.00792,0.06807,0.10725,0.25257,0.44034,-309.94024
0.2585,0.01028,0.06866,0.1204,0.23018,0.4639,-54.49214
0.26,0.01095,0.06877,0.12301,0.23127,0.46876,-32.78199
0.2614,0.01162,0.06889,0.16794,0.23574,0.47373,-17.7117
0.2679,0.01446,0.0694,0.17727,0.27922,0.49799,0.7347
0.2694,0.01507,0.06952,0.17881,0.28733,0.50437,0.84952
0.2787,0.0185,0.07026,0.18625,0.32366,0.56976,0.93956
0.3542,0.0313,0.07614,0.20878,0.41314,0.68832,0.98913
0.3616,0.03195,0.0767,0.20977,0.41579,0.6887,0.98934
0.3707,0.03266,0.07738,0.21083,0.41835,0.6887,0.98915
0.3903,0.03399,0.07885,0.2127,0.42199,0.6874,0.98747
0.4656,0.03729,0.08418,0.21625,0.42214,0.67369,0.97199
0.8057,0.04094,0.10056,0.21062,0.36066,0.57796,0.85965
0.8471,0.041,0.10161,0.20916,0.35367,0.56732,0.84606
0.854,0.04101,0.10176,0.20892,0.35257,0.56562,0.84384
0.8636,0.04102,0.10197,0.20857,0.35106,0.5633,0.8408
1.1137,0.04099,0.10451,0.19972,0.31966,0.51489,0.76983
1.2021,0.041,0.10452,0.1971,0.31122,0.50179,0.74819
1.4144,0.04136,0.10359,0.1921,0.2939,0.47302,0.70155
1.4766,0.04153,0.10317,0.19089,0.28926,0.4644,0.689
1.5462,0.04172,0.10268,0.18964,0.28417,0.45453,0.67544
1.7584,0.04228,0.1012,0.18612,0.26921,0.42394,0.63655
1.9662,0.04256,0.10011,0.18248,0.25536,0.39483,0.60144
2.0721,0.04255,0.0997,0.18035,0.24859,0.38075,0.58448
2.1065,0.04252,0.09959,0.17962,0.24643,0.37631,0.5791
2.3028,0.04216,0.09906,0.17527,0.23447,0.35226,0.54943
2.3584,0.04202,0.09895,0.17403,0.23118,0.34582,0.54132
2.872,0.04044,0.09841,0.16401,0.20356,0.29465,0.47207
2.8824,0.04041,0.0984,0.16385,0.20307,0.29379,0.47077
2.9349,0.04027,0.09838,0.16309,0.20061,0.28958,0.46428
3.2097,0.03975,0.09826,0.15994,0.18923,0.27088,0.43223
3.308,0.03968,0.09823,0.15907,0.18588,0.26537,0.42164
3.3099,0.03968,0.09822,0.15906,0.18582,0.26527,0.42145
3.7628,0.04017,0.09799,0.15608,0.17566,0.24399,0.37995
4.0227,0.04069,0.09776,0.15468,0.1721,0.23295,0.36074
4.1485,0.0409,0.09761,0.15398,0.17042,0.2277,0.3522
4.1493,0.0409,0.09761,0.15398,0.17041,0.22767,0.35215
4.2787,0.04106,0.09742,0.15322,0.16851,0.2223,0.34374
4.5871,0.04097,0.09687,0.15128,0.16308,0.20953,0.32488
4.925,0.03994,0.0961,0.14912,0.1569,0.19525,0.30574
5.1201,0.03905,0.09558,0.14798,0.15384,0.18656,0.29533
5.3249,0.03802,0.09498,0.14698,0.15145,0.18029,0.28489
5.3637,0.03783,0.09486,0.14683,0.15113,0.17936,0.28298
5.4017,0.03765,0.09474,0.14669,0.15086,0.17848,0.28112
5.6095,0.03671,0.09402,0.14614,0.15008,0.17394,0.2713
5.8403,0.03601,0.09306,0.1457,0.14992,0.1691,0.26114
6.1905,0.03599,0.09114,0.14435,0.14932,0.16187,0.24733
6.2693,0.03613,0.09064,0.14384,0.14899,0.16026,0.24451
6.3707,0.03635,0.08996,0.1431,0.14844,0.15819,0.24104
6.6556,0.03708,0.08793,0.14068,0.14614,0.15237,0.23219
6.8997,0.03743,0.08622,0.13846,0.1434,0.1474,0.22551
7.2627,0.03693,0.08404,0.13533,0.13852,0.13998,0.21685
7.3671,0.03661,0.08356,0.13453,0.137,0.13784,0.21459
7.4953,0.03616,0.08311,0.13365,0.13509,0.13518,0.21194
7.5721,0.03587,0.08294,0.13317,0.13392,0.13357,0.21042
7.8816,0.03473,0.08328,0.13161,0.12908,0.13069,0.20471
7.8957,0.03468,0.08334,0.13156,0.12885,0.13075,0.20446
8.335,0.03383,0.08585,0.13048,0.12183,0.1306,0.1973
8.3359,0.03383,0.08585,0.13048,0.12181,0.1306,0.19728
8.4766,0.03379,0.08655,0.1304,0.11959,0.13039,0.19511
8.7353,0.03399,0.08733,0.13054,0.11561,0.13007,0.19123
8.8247,0.03414,0.0875,0.13066,0.11431,0.13,0.18994
9.0456,0.03464,0.08775,0.13105,0.11131,0.13003,0.18685
9.253,0.03525,0.08786,0.13152,0.10885,0.13055,0.18418
9.4074,0.03577,0.08789,0.1319,0.10731,0.13141,0.18247
9.6781,0.03675,0.08788,0.13254,0.10534,0.13431,0.18027
9.7821,0.03715,0.08788,0.13276,0.10479,0.13584,0.17968
9.7827,0.03715,0.08788,0.13277,0.10479,0.13584,0.17968
9.8463,0.03739,0.08788,0.13289,0.10448,0.13679,0.17932
9.91,0.03763,0.08788,0.13301,0.10417,0.13769,0.17894
